Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,directLink
EcJWNtETrzdbj8s2dXpaE4Tu4r7fxALD6TNw9H8S6ksz,7.75%,"$5,119.74","$164,733.21",39.38%,49.05%,[],https://gmgn.ai/sol/address/EcJWNtETrzdbj8s2dXpaE4Tu4r7fxALD6TNw9H8S6ksz
6M9Wo3FziFtobf1vTrbBQpecaD8v3QhMzyjtCTm5kWdi,-0.46%,$-59.57,$-241.36,?,?,[],https://gmgn.ai/sol/address/6M9Wo3FziFtobf1vTrbBQpecaD8v3QhMzyjtCTm5kWdi
G1pRtSyKuWSjTqRDcazzKBDzqEF96i1xSURpiXj3yFcc,64.89%,"$6,822.68","$202,358.51",32.88%,43.07%,['kol'],https://gmgn.ai/sol/address/G1pRtSyKuWSjTqRDcazzKBDzqEF96i1xSURpiXj3yFcc
Ep42nExonCSkeXx2Lbu8uVaJMBb63VNcysHu7t2Zp6Ln,-2.88%,$-615.63,$-536.22,?,?,[],https://gmgn.ai/sol/address/Ep42nExonCSkeXx2Lbu8uVaJMBb63VNcysHu7t2Zp6Ln
Fr5179rUT69dDi5E53gHQhUmyi2aKWLqfBNs79GsmCaf,-29.16%,$-18.77,$-273.81,0.00%,35.71%,[],https://gmgn.ai/sol/address/Fr5179rUT69dDi5E53gHQhUmyi2aKWLqfBNs79GsmCaf
DGBCGcaKFzMJKbXHtoCK8oh2kYgnrunRMuh4cbXMjSoh,11.71%,"$8,982.66","$20,054.54",?,?,[],https://gmgn.ai/sol/address/DGBCGcaKFzMJKbXHtoCK8oh2kYgnrunRMuh4cbXMjSoh
EcqxXsnc6am1NQzjuo9u1SqTXzCcMw9RriB6fUJnSrvw,-28.87%,$-81.77,$-81.77,?,?,[],https://gmgn.ai/sol/address/EcqxXsnc6am1NQzjuo9u1SqTXzCcMw9RriB6fUJnSrvw
6uNDQ9MsM45L4b5RaruKpc73oq2P2Wiq1okR7yyYyC8w,-7.16%,"$-3,245.81","$-5,546.65",?,?,[],https://gmgn.ai/sol/address/6uNDQ9MsM45L4b5RaruKpc73oq2P2Wiq1okR7yyYyC8w
FmwJsAK9UMZedYMehLH8nkLLaS8m1kkGvjagbKDKQjRG,16.40%,"$3,459.74","$3,895.06",?,?,[],https://gmgn.ai/sol/address/FmwJsAK9UMZedYMehLH8nkLLaS8m1kkGvjagbKDKQjRG
7NxaVM6E3JLx8RNQEtnscArr8ECRXwrx92eg1ktK7j35,9.19%,$406.89,$604.75,64.10%,62.07%,[],https://gmgn.ai/sol/address/7NxaVM6E3JLx8RNQEtnscArr8ECRXwrx92eg1ktK7j35
EKoo2QrTGt2YxHx8XwHrrJw2PkcgPDkgPNRbLt1qXTvy,-14.57%,"$-32,121.63","$-30,746.40",?,?,[],https://gmgn.ai/sol/address/EKoo2QrTGt2YxHx8XwHrrJw2PkcgPDkgPNRbLt1qXTvy
GCjSipr8NYQpdLj42j6r3DWRFFQS1KvLBYTbtQoTaJcG,0.83%,$-61.51,$276.60,40.66%,45.17%,[],https://gmgn.ai/sol/address/GCjSipr8NYQpdLj42j6r3DWRFFQS1KvLBYTbtQoTaJcG
GKESRufMdZuEcPf5JzSVHk4K9dPc3UrrruYy2mPPji5V,-8.59%,$-398.81,$337.09,36.03%,38.76%,[],https://gmgn.ai/sol/address/GKESRufMdZuEcPf5JzSVHk4K9dPc3UrrruYy2mPPji5V
CwVapYzyiqSNNYzhcftRVBYVVPwLYzm6R3oFinPzjrz8,-1.25%,$-17.71,$-17.71,?,?,[],https://gmgn.ai/sol/address/CwVapYzyiqSNNYzhcftRVBYVVPwLYzm6R3oFinPzjrz8
Ffp83hCZMaemCKeyzgiAw5tPemV5i5fnqj8Kn7Q2E9u1,-7.03%,$-256.34,$-256.34,50.00%,50.00%,[],https://gmgn.ai/sol/address/Ffp83hCZMaemCKeyzgiAw5tPemV5i5fnqj8Kn7Q2E9u1
E12GGfKRkAMp1SRZEBeQ1fMctksaYxMJvhZV7bECUrF,-10.40%,$-128.58,$-342.78,24.59%,22.41%,[],https://gmgn.ai/sol/address/E12GGfKRkAMp1SRZEBeQ1fMctksaYxMJvhZV7bECUrF
GPNxwYh73yyzCi6CzmXJc98P6XQp2vfx1whGhu1HsUtv,0.75%,$562.33,"$5,564.62",?,?,[],https://gmgn.ai/sol/address/GPNxwYh73yyzCi6CzmXJc98P6XQp2vfx1whGhu1HsUtv
EX9Dq3EvnxwqPa9iJXcrFRFYyXub9jM4w3VxeeTy8zFT,3.87%,$444.71,"$6,006.56",60.56%,70.62%,[],https://gmgn.ai/sol/address/EX9Dq3EvnxwqPa9iJXcrFRFYyXub9jM4w3VxeeTy8zFT
DCLSQphN6AbBfoaNgNfrrEBe8yKD3fhEpES3k6TmmtGK,17.22%,"$3,710.01","$4,766.95",?,?,[],https://gmgn.ai/sol/address/DCLSQphN6AbBfoaNgNfrrEBe8yKD3fhEpES3k6TmmtGK
GnicXtGh6znMbeMCqANmJaVL6GjcGeT86DGKmEWmtE2s,6.19%,$-70.07,$-95.50,32.00%,30.00%,[],https://gmgn.ai/sol/address/GnicXtGh6znMbeMCqANmJaVL6GjcGeT86DGKmEWmtE2s
DSBSVx7xG9PHqGoNvh7HrudJmpRyu9zyjCmH7FYbsk1F,-3.12%,"$-1,114.25","$-1,588.72",?,?,[],https://gmgn.ai/sol/address/DSBSVx7xG9PHqGoNvh7HrudJmpRyu9zyjCmH7FYbsk1F
EXHsRWRozowAqMdrNZqytzfXibe2aC8KeFSaXXi41z4k,4.42%,$241.25,$751.71,?,?,[],https://gmgn.ai/sol/address/EXHsRWRozowAqMdrNZqytzfXibe2aC8KeFSaXXi41z4k
Fp9ekLpzBQoekCA6jHVLoyPvhhcGWY76aQtMT3DbHxHc,0.98%,$0.58,$-194.07,?,23.08%,[],https://gmgn.ai/sol/address/Fp9ekLpzBQoekCA6jHVLoyPvhhcGWY76aQtMT3DbHxHc
FYbzreH3mHaqiqwbJZLS2GvQTHzPSt4Dk4wB5GKMiKVW,40.31%,$579.36,"$2,546.62",73.08%,77.59%,[],https://gmgn.ai/sol/address/FYbzreH3mHaqiqwbJZLS2GvQTHzPSt4Dk4wB5GKMiKVW
GN8oYVMpP2gCw1CpRrXUPueCMiDoNiYCHawYeH3oVabP,5.86%,"$2,675.87","$32,281.14",39.43%,39.91%,[],https://gmgn.ai/sol/address/GN8oYVMpP2gCw1CpRrXUPueCMiDoNiYCHawYeH3oVabP
Dc9F3Fz3HtzStS47BySBab5KqWagoo9kevEAfUy9ErT2,472.71%,"$1,869.36","$1,869.36",?,?,[],https://gmgn.ai/sol/address/Dc9F3Fz3HtzStS47BySBab5KqWagoo9kevEAfUy9ErT2
Fjv5rs4Dwh4snmGFfvsm6GMtr2qYnLQpAfsW7Qy6HEjW,4.82%,$-768.48,$-634.27,?,?,[],https://gmgn.ai/sol/address/Fjv5rs4Dwh4snmGFfvsm6GMtr2qYnLQpAfsW7Qy6HEjW
D7eUAKKTRZKPwJf6mDAhste8MwZYJvQ9jtkxeH5MxZxj,11.98%,"$2,338.42","$29,826.89",43.75%,47.73%,[],https://gmgn.ai/sol/address/D7eUAKKTRZKPwJf6mDAhste8MwZYJvQ9jtkxeH5MxZxj
EaainwaWfnYwKkZQjhd7SLgjr4FF7LhNKX8CDHpxgkAK,3.21%,$114.07,$128.38,?,?,[],https://gmgn.ai/sol/address/EaainwaWfnYwKkZQjhd7SLgjr4FF7LhNKX8CDHpxgkAK
6mmnoD1Pjb4GSerL6HwDcr5XF4NnHLmhUj1FhKtUTmHc,13.90%,"$-3,530.52","$1,290.16",?,?,[],https://gmgn.ai/sol/address/6mmnoD1Pjb4GSerL6HwDcr5XF4NnHLmhUj1FhKtUTmHc
GWxwW1KL2LXEwG3rzd5X1LS5Sv56R4yjxQRNN6wrSByZ,13.30%,"$1,281.06","$1,281.06",70.37%,70.37%,['fresh_wallet'],https://gmgn.ai/sol/address/GWxwW1KL2LXEwG3rzd5X1LS5Sv56R4yjxQRNN6wrSByZ
6tKwsRx3rwPQrVJGrQ5w6hvcFz1FUJBAkShY5SLoRBvw,4.48%,"$10,742.03","$28,515.50",?,?,[],https://gmgn.ai/sol/address/6tKwsRx3rwPQrVJGrQ5w6hvcFz1FUJBAkShY5SLoRBvw
HDk6pDqC71kYCVg2YNGq89NCNitLxkzTU28rTqYotHAG,-9.24%,$105.83,$-827.27,?,?,[],https://gmgn.ai/sol/address/HDk6pDqC71kYCVg2YNGq89NCNitLxkzTU28rTqYotHAG
7D3pWHbKwEdhEyQpEBNWr5DNweJ3wsGcwoBMrHrB3YMq,34.95%,"$-2,462.52","$42,972.19",18.18%,36.62%,[],https://gmgn.ai/sol/address/7D3pWHbKwEdhEyQpEBNWr5DNweJ3wsGcwoBMrHrB3YMq
HF2Lw2tYs4B3y1iqz6iw2f4wTjrn14KppvAezcm7TAT3,15.88%,"$16,414.55","$86,463.47",41.86%,38.65%,[],https://gmgn.ai/sol/address/HF2Lw2tYs4B3y1iqz6iw2f4wTjrn14KppvAezcm7TAT3
J9ZvZzYCCgLmffiX2mpFySG6KCLJPCSaKciZ5NivH6aU,32.03%,$-434.68,$-649.26,?,?,[],https://gmgn.ai/sol/address/J9ZvZzYCCgLmffiX2mpFySG6KCLJPCSaKciZ5NivH6aU
Gau6WYPgPmg8L8q8gEXwbko6s54tEBSEDVLpvgCZsAbN,7.44%,$868.93,"$3,122.02",47.17%,47.32%,[],https://gmgn.ai/sol/address/Gau6WYPgPmg8L8q8gEXwbko6s54tEBSEDVLpvgCZsAbN
ySWAzzXVTGUwZzMYJvQaf4hYNDQyKSeFxRn3Nz9Fx3r,-29.79%,$-69.34,$-69.34,100.00%,100.00%,[],https://gmgn.ai/sol/address/ySWAzzXVTGUwZzMYJvQaf4hYNDQyKSeFxRn3Nz9Fx3r
GZ299cBpXykPEqB5Nfryv1GaLWZdK5VK3En91icwRYF5,-2.13%,$-427.90,$-336.96,?,?,[],https://gmgn.ai/sol/address/GZ299cBpXykPEqB5Nfryv1GaLWZdK5VK3En91icwRYF5
E8TLi4H5vY6R88gjWWNrYQjncBXavvNFWuksSxYxEbNn,23.69%,$371.85,"$2,021.64",94.74%,89.66%,[],https://gmgn.ai/sol/address/E8TLi4H5vY6R88gjWWNrYQjncBXavvNFWuksSxYxEbNn
Fkv9fSgqYhSorbPWLonbVSkdx4MtTQfuMYGhR1LVpAr2,45.23%,$541.12,"$20,499.19",27.69%,37.90%,[],https://gmgn.ai/sol/address/Fkv9fSgqYhSorbPWLonbVSkdx4MtTQfuMYGhR1LVpAr2
GxaeXcakf96MGvenQZssRNjHaNDGLSu2REq2xpKoTYr,10.09%,"$30,809.03","$35,676.02",74.02%,73.05%,[],https://gmgn.ai/sol/address/GxaeXcakf96MGvenQZssRNjHaNDGLSu2REq2xpKoTYr
HaLeeDAwrM61Rcfw7qx8ksJ3MmTzGYYBgV4rkatMysGG,-9.04%,$-245.35,$-245.35,?,?,[],https://gmgn.ai/sol/address/HaLeeDAwrM61Rcfw7qx8ksJ3MmTzGYYBgV4rkatMysGG
Hb1vXmQLb9EUUHboXg661J8PCr2aJsgTeko9B81WPGTq,5.53%,"$6,144.01","$8,296.63",?,?,[],https://gmgn.ai/sol/address/Hb1vXmQLb9EUUHboXg661J8PCr2aJsgTeko9B81WPGTq
HYgc9Fu9bUwmNRh5CAKwgzujkYNjEqvrAMg8dS9qogu3,11.84%,"$2,939.63","$4,250.62",?,?,[],https://gmgn.ai/sol/address/HYgc9Fu9bUwmNRh5CAKwgzujkYNjEqvrAMg8dS9qogu3
7Fpq636RRVGceXE26N1hYcPKFjq3UUvoQqkjHbjNcg8H,-11.67%,"$-4,522.50","$-7,591.22",25.55%,24.82%,[],https://gmgn.ai/sol/address/7Fpq636RRVGceXE26N1hYcPKFjq3UUvoQqkjHbjNcg8H
H1Skeqip1QkjUNGK5NXPTYajbGhz7md4K6omZsWEALTH,10.48%,$-149.39,"$7,363.50",35.82%,41.63%,[],https://gmgn.ai/sol/address/H1Skeqip1QkjUNGK5NXPTYajbGhz7md4K6omZsWEALTH
GnYSpjgfEDvPADhW1K49VijzvFQXQ1KaeHBzEQW7QX8,7.14%,"$2,058.58","$2,058.58",?,?,[],https://gmgn.ai/sol/address/GnYSpjgfEDvPADhW1K49VijzvFQXQ1KaeHBzEQW7QX8
Gttpu2R29BQUmmZn1nS6KgLms1yT9NUekXdzzmXtjiSA,8.67%,"$4,485.27","$13,961.33",30.21%,31.33%,[],https://gmgn.ai/sol/address/Gttpu2R29BQUmmZn1nS6KgLms1yT9NUekXdzzmXtjiSA
